Role,Name,Creativity & Innovation,Adapability & Felbility,Problem Solving Skills,Empathy & User Centric Focus,Iterative Mindset,Leadership Influence,Critical Thinking,Continous Learning,Resourcefulness
Intraprenuer,Raymond Thompson,4,4,3,3,3,4,1,3,4
Intraprenuer,Paul Hudson,3,3,4,2,3,4,1,4,5
Intraprenuer,Mr. Daniel Hill,3,3,4,4,3,4,1,3,4
Intraprenuer,Jennifer Mitchell,5,4,4,3,3,5,2,4,4
Intraprenuer,Jacob Parks,4,4,4,3,4,4,3,4,4
Intraprenuer,Anita Richardson,3,4,3,2,4,5,3,4,4
Intraprenuer,Jennifer Smith,5,5,4,2,4,5,3,3,4
Intraprenuer,Mark Schneider,4,3,4,3,3,4,2,4,5
Intraprenuer,Rebecca Taylor,3,3,4,2,4,4,1,3,4
Intraprenuer,Andre Rivers,4,5,4,4,4,5,2,4,4
Intraprenuer,Marcus Kennedy,3,3,4,3,3,5,2,4,5
Intraprenuer,Robert Juarez,3,5,3,2,3,4,2,3,5
Intraprenuer,Brenda Mcknight,4,3,3,4,3,5,3,3,4
Intraprenuer,Matthew Brandt,4,5,3,3,4,5,1,4,5
Intraprenuer,Shannon Martinez,4,4,3,3,3,4,3,4,5
Domain Expert,Ms. Susan Williams,3,5,4,1,3,4,4,4,4
Domain Expert,Heather Franklin,3,5,5,2,2,4,4,4,4
Domain Expert,Lisa Cole,1,2,4,1,2,3,5,5,5
Domain Expert,Randy Richardson,2,3,4,1,2,3,4,4,4
Domain Expert,Christopher Davis,3,4,4,2,3,2,5,5,5
Domain Expert,Thomas Rivera,2,3,5,1,2,4,4,4,5
Domain Expert,Olivia Rich,2,4,4,3,2,2,4,5,5
Domain Expert,Cheryl Johnson,1,4,5,3,3,2,4,4,4
Domain Expert,James Shelton,1,2,5,1,3,3,5,4,4
Domain Expert,Krystal Cline,3,2,5,2,3,3,5,5,5
Domain Expert,Daniel Estes,1,3,5,2,2,3,4,5,5
Domain Expert,Gabriel Santos,3,5,5,3,3,4,5,5,4
Domain Expert,Jacob Lopez,3,4,5,1,2,3,5,5,5
Domain Expert,David Adams,1,5,4,2,3,3,4,4,5
Domain Expert,Joseph Carter,2,5,5,3,2,3,5,4,4
Domain Expert,Diane Fernandez,2,4,4,1,2,3,5,4,4
Domain Expert,Jamie Wheeler,1,3,5,1,3,3,4,4,4
Domain Expert,Juan Perez,1,2,4,3,2,4,5,5,5
Domain Expert,Laura Wood,2,4,5,1,2,3,5,4,4
Domain Expert,Jason Rhodes,1,3,5,3,3,2,5,4,5
Domain Expert,Benjamin Brown MD,1,3,5,3,2,2,5,4,5
Domain Expert,Troy Sharp,2,5,5,1,3,3,4,5,5
Domain Expert,Robert Cross,3,2,5,1,2,3,4,4,5
Domain Expert,Mallory Wilcox,2,5,4,1,3,4,4,4,4
Domain Expert,Christopher Calderon,2,2,4,1,2,2,5,5,5
Domain Expert,Michael Delgado,2,2,5,3,3,2,4,4,4
Domain Expert,Susan Hartman,1,4,5,2,2,2,4,5,5
Domain Expert,Crystal Freeman,1,4,5,3,2,4,4,4,4
Domain Expert,Christine Perkins,1,2,5,2,3,4,5,4,4
Domain Expert,Shelly Thomas,1,4,4,1,2,4,5,4,5
Domain Expert,Alexander Williams,3,3,4,3,2,2,4,5,4
Domain Expert,Mariah Robinson,3,3,5,3,2,2,4,4,5
Domain Expert,John Garner,2,3,5,1,2,4,4,4,4
Domain Expert,Thomas Taylor,1,3,5,1,3,3,4,5,4
Domain Expert,Samuel Pierce,3,4,5,1,3,4,5,5,4
Domain Expert,Michael Miller,2,3,5,3,2,2,4,5,4
Domain Expert,Jennifer Goodwin,1,5,5,3,3,2,5,5,4
Domain Expert,Amy Farmer,3,5,4,2,2,3,5,5,5
Domain Expert,Teresa Francis,1,5,4,3,2,4,5,5,5
Domain Expert,Jose Sanchez,3,4,5,1,3,4,5,4,4
Domain Expert,Willie Gregory,2,4,4,2,3,2,4,5,4
Domain Expert,Caleb Frank,2,4,5,1,3,4,4,5,4
Domain Expert,Betty Allen,2,5,5,1,3,3,4,4,4
Domain Expert,Rebecca Burns,1,3,5,3,3,2,4,4,4
Domain Expert,Nicole Richardson,2,5,5,1,3,3,5,4,5
Domain Expert,Jared Burns,2,2,4,1,2,2,4,5,4
Domain Expert,Greg Thomas,2,2,4,2,3,4,5,5,5
Domain Expert,Julia Villegas,2,5,4,2,2,4,5,4,5
Domain Expert,Krista Curry,1,4,4,3,2,3,4,4,5
Domain Expert,Gary Ortega,3,4,4,3,3,3,5,5,5
Domain Expert,Joseph Bush,2,5,5,2,3,2,4,5,4
Domain Expert,Deborah Jenkins,1,3,4,1,2,2,4,5,5
Domain Expert,Denise Summers,1,5,4,1,3,4,4,5,5
Domain Expert,Randy Livingston,1,3,5,3,2,3,5,4,5
Domain Expert,Patricia Jackson,1,3,4,2,3,3,4,5,5
Domain Expert,Jason Williamson,3,4,5,2,3,2,5,5,5
Domain Expert,Matthew Johnson,1,5,4,2,3,3,4,4,5
Domain Expert,Shawn Mcgrath,3,3,4,3,2,2,5,4,4
Domain Expert,Jessica Davis,1,5,4,2,3,2,4,5,5
Domain Expert,Brittany Nguyen,3,4,4,3,3,3,4,5,5
Domain Expert,Courtney Gutierrez,2,2,4,2,2,4,4,4,5
Domain Expert,Troy Ferguson,2,2,4,2,3,2,5,4,5
Domain Expert,Nathaniel Petty,2,5,5,3,2,2,5,5,4
Domain Expert,Sharon Smith,2,5,4,2,3,4,5,4,5
Domain Expert,Ashley Chen,2,4,5,3,3,4,5,4,4
Domain Expert,Peggy Bennett,2,5,4,3,2,2,5,4,4
Domain Expert,Karen Morris,3,3,4,1,2,3,4,4,5
Domain Expert,Melanie Solomon,3,2,5,1,2,3,5,4,4
Domain Expert,Valerie Ross,1,4,4,2,2,4,5,4,4
Domain Expert,Amber Adams,3,5,5,3,3,3,4,5,4
Domain Expert,Sherry Jones,2,5,5,1,2,3,4,5,5
Domain Expert,Bonnie Hernandez,1,4,4,1,3,2,5,5,5
Domain Expert,Elizabeth Franklin,3,2,5,3,3,4,4,5,5
Domain Expert,Susan Navarro,2,2,5,1,3,4,4,5,5
Domain Expert,Tyler Snow,3,3,5,2,3,2,4,4,5
Domain Expert,Cassandra Kennedy,1,3,4,2,2,2,5,5,5
Domain Expert,Adrienne Harris,3,2,5,2,2,4,5,5,4
Domain Expert,Jennifer Curry,2,3,5,3,2,2,4,5,4
Domain Expert,Anna Watson,2,5,4,2,3,4,4,4,5
Domain Expert,Casey Tanner,1,5,4,3,3,2,5,4,5
Domain Expert,Michelle Rose,1,5,4,3,2,3,4,4,5
Domain Expert,Joshua Williams,1,5,4,1,3,4,5,4,4
Domain Expert,Emily Rangel,2,2,4,2,3,4,5,4,4
Domain Expert,Joseph Higgins,3,5,4,2,3,4,5,4,4
Domain Expert,Karina Grimes,2,4,4,3,2,4,4,4,5
Domain Expert,Stephanie Cox,1,3,5,1,2,3,5,5,4
Domain Expert,Alexander Garcia,2,3,5,2,2,2,4,5,4
Domain Expert,Jesse Fisher,3,4,4,1,3,4,5,4,5
Domain Expert,Victoria Johnson,3,4,5,2,2,4,5,4,4
Domain Expert,Philip Valdez,2,3,5,2,2,2,5,5,4
Domain Expert,Stephen Hampton,1,3,5,3,2,2,5,5,4
Domain Expert,Lisa Smith,2,3,5,2,2,3,4,5,4
Domain Expert,Sean Harper,1,3,5,1,3,3,4,4,4
Domain Expert,Daniel Ramirez,1,2,5,2,2,2,5,5,4
Domain Expert,Catherine Boyd,3,5,4,2,3,2,4,5,5
Domain Expert,Wendy Jones,2,3,4,3,3,2,4,4,5
Domain Expert,Angela Price,2,2,5,3,3,3,4,4,4
Domain Expert,Kenneth Rodgers,2,3,5,2,2,4,4,5,5
Domain Expert,Samuel Santos,3,2,4,1,3,3,5,4,4
Domain Expert,Laura Kennedy,1,2,5,1,3,2,5,5,5
Algorithm Specialist,Shawna Johnson,1,2,4,4,2,2,3,4,4
Algorithm Specialist,Donald Edwards,2,3,4,3,4,1,3,5,5
Algorithm Specialist,Shawn Bass,3,3,4,2,2,3,5,4,4
Algorithm Specialist,Jesse Walker,2,3,4,2,2,3,3,4,4
Algorithm Specialist,Rachel Richmond,1,3,4,3,2,3,4,5,4
Algorithm Specialist,Sara Long,3,1,5,3,3,2,4,4,4
Algorithm Specialist,Rachel Estrada,1,3,4,3,3,2,5,4,4
Algorithm Specialist,Stefanie Powell,1,2,4,4,4,3,3,5,4
Algorithm Specialist,Heather Sanchez,1,1,4,2,4,1,5,4,3
Algorithm Specialist,Andrew Gibson,3,2,4,2,2,1,3,4,3
Algorithm Specialist,Lindsey Silva,1,1,5,4,3,1,4,4,4
Algorithm Specialist,Melvin Castillo,3,2,4,3,3,2,5,4,4
Algorithm Specialist,Stephanie Dickson,2,2,5,4,3,2,4,5,4
Algorithm Specialist,Alan Perez,1,2,5,2,3,3,5,5,3
Algorithm Specialist,Jacob Collins,3,1,4,4,3,1,3,4,4
Algorithm Specialist,Yolanda Henry,1,1,4,4,4,3,3,4,3
Algorithm Specialist,Holly Zhang,3,2,4,4,4,3,5,4,3
Algorithm Specialist,Jasmine Jones,1,2,5,2,2,1,3,5,3
Algorithm Specialist,Stephen Velez,1,3,5,3,4,1,3,5,3
Algorithm Specialist,Margaret Hernandez,2,3,4,2,3,2,3,5,5
Algorithm Specialist,Jennifer Thompson,1,1,4,4,4,2,4,4,5
Algorithm Specialist,Kathy Ewing,2,2,5,2,3,3,3,5,3
Algorithm Specialist,Kimberly Jones,2,2,4,2,2,2,4,5,3
Algorithm Specialist,John Ramirez,1,1,4,4,3,1,5,5,5
Algorithm Specialist,Brian Davis,1,1,5,2,3,2,5,4,5
Algorithm Specialist,Christopher Evans,2,3,5,3,2,3,5,4,3
Algorithm Specialist,Veronica Lewis,3,2,5,4,2,2,5,4,5
Algorithm Specialist,Deborah Gibson,3,1,4,4,4,3,3,4,4
Algorithm Specialist,Jordan Mann,2,1,5,3,2,3,4,4,3
Algorithm Specialist,Melissa Murphy,1,3,4,4,3,1,3,4,3
Algorithm Specialist,Heather Howell,1,3,4,3,4,3,5,5,5
Algorithm Specialist,Claudia Arroyo,3,1,5,4,3,2,3,4,4
Algorithm Specialist,Adam Stanley,1,2,5,4,4,1,4,5,4
Algorithm Specialist,Tracy Dean,1,1,5,2,2,2,4,4,5
Algorithm Specialist,Diana Sweeney,2,3,5,2,3,2,4,4,4
Algorithm Specialist,Emily Lopez,2,3,5,4,3,3,3,5,5
Algorithm Specialist,Michael Adams,2,1,4,3,3,3,3,5,4
Algorithm Specialist,Dr. Spencer White Jr.,1,2,5,2,3,2,4,4,3
Algorithm Specialist,Willie Adams,2,1,4,2,4,3,4,5,3
Algorithm Specialist,Paige Cortez,3,3,5,2,4,1,4,5,5
Algorithm Specialist,Richard Miller,1,2,4,2,4,3,3,4,4
Algorithm Specialist,Shelley Casey,3,2,5,4,3,3,5,4,5
Algorithm Specialist,Andrew Woods,1,1,5,3,3,1,5,5,3
Algorithm Specialist,Justin Macdonald MD,1,3,4,4,3,2,3,4,5
Algorithm Specialist,Joshua Ross,2,1,5,4,3,1,3,4,3
Algorithm Specialist,Breanna Brown,3,3,4,4,4,2,5,4,5
Algorithm Specialist,Lori Warren,2,1,4,2,4,1,4,4,3
Algorithm Specialist,Shannon Lawson,3,3,4,4,2,3,3,4,4
Algorithm Specialist,Jason Myers,1,1,5,2,2,3,4,5,4
Algorithm Specialist,Beverly Moore,2,2,4,3,4,3,5,5,4
Algorithm Specialist,James Knight DVM,3,1,5,4,2,1,4,4,5
Algorithm Specialist,Willie Guerrero,3,3,4,3,2,3,5,4,3
Algorithm Specialist,Mr. Aaron Park,1,2,5,3,4,1,4,5,3
Algorithm Specialist,Cindy Ingram,3,1,4,4,2,3,3,4,5
Algorithm Specialist,Randy Edwards,2,1,5,2,2,1,4,4,4
Algorithm Specialist,Ricky Harris,1,3,5,3,3,3,5,5,5
Algorithm Specialist,Mary Smith,3,1,4,3,4,3,5,4,4
Algorithm Specialist,Maria Moon,2,3,4,4,2,1,4,5,3
Algorithm Specialist,Victor Williamson,3,3,5,2,4,3,3,4,5
Algorithm Specialist,Julian Adams,2,3,4,4,2,2,3,5,3
Algorithm Specialist,Richard Hawkins,3,3,5,4,4,1,3,5,4
Algorithm Specialist,Dr. David Gomez Jr.,1,1,5,4,3,2,4,5,4
Algorithm Specialist,Tyler Serrano,2,2,4,3,4,3,5,4,5
Algorithm Specialist,Christopher Santiago,2,3,4,4,4,1,4,4,4
Algorithm Specialist,Jessica Delacruz,1,3,4,4,2,1,4,5,3
Algorithm Specialist,Destiny Johnson,1,2,4,4,3,3,5,5,3
Algorithm Specialist,Mr. Austin Kim,3,2,4,3,3,3,5,4,3
Algorithm Specialist,Ronald Johnson,2,3,4,3,4,3,3,5,5
Algorithm Specialist,Sarah Moss,1,2,4,2,2,2,4,4,4
Algorithm Specialist,Christian Harris,1,3,5,4,2,3,5,4,3
Algorithm Specialist,Colleen Smith,3,3,4,4,2,2,4,4,3
Algorithm Specialist,Haley Martinez,3,2,4,3,3,1,3,4,5
Algorithm Specialist,Kelli Bell,1,1,4,3,2,3,4,5,3
Algorithm Specialist,Justin Smith,2,1,4,4,3,1,5,4,4
Algorithm Specialist,William Mason,3,1,4,2,3,2,5,4,3
Algorithm Specialist,Alicia Martinez,1,2,5,3,4,2,5,4,3
Algorithm Specialist,Mark Calderon,2,1,4,3,2,2,4,4,5
Algorithm Specialist,Rita Bates,1,1,5,2,4,3,3,5,4
Algorithm Specialist,Anna Pacheco,1,2,4,3,4,3,4,5,4
Algorithm Specialist,Caroline Lewis,3,1,4,4,4,1,3,4,4
Algorithm Specialist,James Smith,1,2,5,4,2,3,3,5,4
Algorithm Specialist,Tonya Brown,2,1,4,4,4,1,5,5,3
Algorithm Specialist,Michael Stephens,2,3,4,3,4,3,4,4,3
Algorithm Specialist,Nicholas Kelly,3,1,5,4,2,2,5,5,3
Algorithm Specialist,Kenneth Cochran,1,3,5,3,3,1,3,5,3
Algorithm Specialist,Jennifer Martinez,3,3,5,4,3,1,4,5,4
Algorithm Specialist,Jason Ward,2,1,5,3,3,1,5,4,4
Algorithm Specialist,Pamela Guzman,1,2,4,3,2,2,5,4,5
Algorithm Specialist,Christine Warner,1,2,5,3,2,2,5,5,4
Algorithm Specialist,Ronald Allison,3,3,4,4,2,2,5,4,4
Algorithm Specialist,Aaron Koch,3,1,5,3,3,3,4,4,5
Algorithm Specialist,Anthony Rollins,1,2,4,2,2,3,4,5,3
Algorithm Specialist,Fred Acosta,1,2,5,4,3,1,5,5,3
Algorithm Specialist,Roy Garcia,2,2,4,2,2,3,3,5,5
Algorithm Specialist,Rose Perry,1,2,5,4,2,1,5,5,3
Algorithm Specialist,Jimmy Jones,2,2,5,3,4,3,4,4,5
Algorithm Specialist,Zachary Quinn,1,2,5,3,2,2,5,4,5
Algorithm Specialist,Scott Perez,2,2,5,3,3,2,5,5,5
Algorithm Specialist,Mary Blankenship,1,3,5,2,3,1,4,4,3
Algorithm Specialist,Jennifer Williams,3,2,5,3,2,3,3,4,5
Prompt Engineer,David Meyer,5,5,2,5,4,2,4,3,3
Prompt Engineer,Todd Hall,4,3,3,5,5,3,4,4,5
Prompt Engineer,Justin Hudson,4,4,3,4,4,3,5,3,3
Prompt Engineer,Susan Myers,5,4,2,5,4,2,3,3,3
Prompt Engineer,Megan Patton MD,4,5,3,4,5,2,5,4,3
Prompt Engineer,Dawn Leonard,5,5,2,5,4,3,4,4,3
Prompt Engineer,Brittney Elliott,3,5,2,4,5,4,3,4,5
Prompt Engineer,Brian Ryan,3,5,3,4,5,4,4,3,5
Prompt Engineer,Alexis Joseph,4,5,2,4,5,4,3,5,3
Prompt Engineer,Nicholas Benjamin,5,5,2,4,4,3,5,5,4
Prompt Engineer,Jennifer Saunders,5,3,2,5,5,3,3,3,3
Prompt Engineer,Brandon Dickerson,3,5,2,5,4,4,4,3,3
Prompt Engineer,Emily Drake,4,5,2,4,4,2,3,3,3
Prompt Engineer,Daniel Morris,5,4,2,4,5,3,3,3,3
Prompt Engineer,Michael Davis,3,4,2,4,5,4,4,3,4
Prompt Engineer,Terry Lamb,4,3,2,4,4,4,4,4,3
Prompt Engineer,Kyle Roman,5,5,3,5,4,3,5,3,3
Prompt Engineer,Sandra Moore,4,4,2,5,5,4,5,5,3
Prompt Engineer,Alexa Allen,3,3,2,5,4,2,4,5,4
Prompt Engineer,Frances Pierce,5,5,2,5,5,4,3,3,4
Prompt Engineer,Suzanne Wilson,4,4,2,5,5,2,5,4,4
Prompt Engineer,Erica Bailey,4,4,3,4,4,3,5,3,5
Prompt Engineer,Matthew Moss,4,3,3,5,5,2,3,3,5
Prompt Engineer,Jose Santiago,5,3,3,5,5,4,3,5,4
Prompt Engineer,Monica Rogers,3,5,2,5,4,3,5,4,5
Prompt Engineer,Rachel Johnson,3,4,3,4,5,3,4,4,3
Prompt Engineer,Tammy Atkins,3,3,2,4,5,4,3,3,3
Prompt Engineer,Jerry Hodges,4,5,3,5,4,2,3,4,4
Prompt Engineer,Erika Armstrong,5,3,2,5,4,4,4,3,5
Prompt Engineer,Donna Bowman,3,4,2,5,4,2,5,5,4
Prompt Engineer,John Campbell,5,3,3,5,5,2,3,4,4
Prompt Engineer,Brett Wilson,5,4,2,4,4,2,3,5,5
Prompt Engineer,Stephanie Taylor,4,3,3,4,4,2,5,5,5
Prompt Engineer,Jeffrey Cox,3,3,2,4,5,3,3,3,3
Prompt Engineer,Jacqueline Turner,3,5,3,4,4,3,3,4,3
Prompt Engineer,Timothy West,5,5,3,4,5,3,3,5,3
Prompt Engineer,Olivia Miller,4,3,3,5,4,4,3,5,4
Prompt Engineer,Theresa Atkins,3,5,3,5,4,3,5,5,3
Prompt Engineer,Austin Mcdaniel,4,5,3,5,4,2,3,5,3
Prompt Engineer,Angela Cooper,3,5,2,5,4,3,4,4,3
Prompt Engineer,Larry Thompson,5,3,3,4,5,3,5,3,5
Prompt Engineer,Pedro Finley,4,3,3,5,4,2,5,4,5
Prompt Engineer,Tony Barber,4,3,2,4,4,2,5,5,3
Prompt Engineer,Lindsay Johnson,5,4,2,4,4,3,4,4,3
Prompt Engineer,Brian Graham,4,4,2,5,4,4,4,3,4
Prompt Engineer,Timothy Long,5,4,3,5,4,2,4,5,3
Prompt Engineer,Rebecca Lee,3,3,3,5,5,3,5,3,3
Prompt Engineer,Belinda Lewis,5,3,2,4,5,4,3,3,4
Prompt Engineer,Wendy Wells,5,4,2,4,5,2,5,4,3
Prompt Engineer,Roberta Bishop,4,5,2,4,5,4,4,4,3
Prompt Engineer,Taylor Simon,3,4,3,4,4,2,4,3,5
Prompt Engineer,Joseph Trevino,5,5,3,4,4,4,3,4,5
Prompt Engineer,Jacob Hernandez,4,3,2,4,4,3,3,5,3
Prompt Engineer,Emily Nunez,4,5,3,4,4,4,4,3,3
Prompt Engineer,Alexandria Stewart,4,3,2,4,5,2,3,5,3
Prompt Engineer,Cory Mayo,3,5,3,4,5,2,5,5,3
Prompt Engineer,Christopher Lopez,3,3,3,5,4,4,4,4,5
Prompt Engineer,John Phillips,4,3,3,4,5,2,5,3,5
Prompt Engineer,Rebecca Thompson,3,3,3,4,4,3,4,4,5
Prompt Engineer,John Blevins,5,5,3,4,5,2,4,4,3
Prompt Engineer,Kimberly White,5,4,3,5,5,3,4,3,4
Prompt Engineer,Deborah Nguyen,3,3,2,4,5,4,5,4,3
Prompt Engineer,Sara Stanley,4,4,2,4,4,4,5,4,4
Prompt Engineer,Jenna Murphy,3,5,3,4,5,2,5,5,5
Prompt Engineer,Rachel Woods,5,3,3,4,5,3,4,3,5
Prompt Engineer,Cassandra Mccoy,5,5,2,5,4,3,5,3,4
Prompt Engineer,Sarah Diaz,4,4,2,4,4,4,4,5,4
Prompt Engineer,Kelsey Baker,5,5,2,4,4,3,3,4,4
Prompt Engineer,Megan Hill,3,4,2,4,5,3,5,5,4
Prompt Engineer,Robert Mccormick,4,3,2,4,4,2,5,4,4
Prompt Engineer,Grant Kirby,4,3,3,5,4,4,4,5,3
Prompt Engineer,Leon Silva,3,5,2,5,4,3,4,3,4
Prompt Engineer,Elizabeth Lewis,5,3,3,5,4,3,3,5,4
Prompt Engineer,Stephanie Yates,3,5,2,4,4,4,4,3,4
Prompt Engineer,Michelle Campbell,4,3,3,4,4,2,5,5,4
Prompt Engineer,Nicholas Lewis,4,3,3,4,4,4,4,5,5
Prompt Engineer,Patricia Choi,4,3,2,5,4,3,5,4,4
Prompt Engineer,Alison Maldonado,5,4,3,5,4,4,5,4,4
Prompt Engineer,Brittany Barber,5,4,3,4,4,4,4,5,3
Prompt Engineer,Tanner Lynch,4,3,3,5,4,4,3,4,4
Prompt Engineer,Robert Daniel,3,5,2,4,5,4,5,5,4
Prompt Engineer,Matthew Martin,3,3,2,5,4,3,3,4,5
Prompt Engineer,Cynthia Jarvis,4,3,2,4,5,3,4,5,3
Prompt Engineer,Gregory Riley,5,3,3,5,5,3,5,5,3
Prompt Engineer,Carly Phillips,5,4,2,4,4,2,5,3,3
Prompt Engineer,Brandy Smith MD,4,4,2,4,5,3,3,3,5
Prompt Engineer,Michael Walker,5,4,3,4,4,4,4,5,5
Prompt Engineer,Lauren Mejia,3,5,3,5,4,4,3,5,5
Prompt Engineer,Dr. Monica Rowe,5,4,2,5,5,3,4,4,3
Prompt Engineer,Kyle Peterson,3,4,3,4,4,4,3,3,5
Prompt Engineer,Kathy Vaughn,4,5,2,5,5,2,4,5,4
Prompt Engineer,Daniel Parker,5,5,2,5,4,2,3,5,5
Prompt Engineer,James Robbins,4,3,2,5,4,4,3,3,4
Prompt Engineer,Dr. Christina Munoz,5,4,3,5,4,3,5,3,4
Prompt Engineer,Aaron Burgess,4,4,2,4,5,4,4,4,3
